crashID,firstCrashType,crashType,cost,numUnits
733c1441bd8b2bad3d739f9b435fa5f4ba476002f78c68f1d41043d6d457c00a7be1aff2ed64e9601fbc9b256ae5b2c43a316f39f66e506c5f716b0e59247643,FIXED OBJECT,NO INJURY / DRIVE AWAY,2687,1
e1cecfb0a6d32fffa873ddd4498d9e254bb85ca9f1cf4e83d8fc91f0fa671a38b8c07c2e493aec697a2ac42998e03edaf7b9f919f564ec3a424f598f21c38659,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,3191,2
ebca84525e034c477a316703a015a0ab31d0ef69d010615646c81530d93b15c3001951d7e8fc302b224b61887f9cc48e1cf8f3c57d84740768a4d4318ddfe14e,ANGLE,NO INJURY / DRIVE AWAY,922,2
9443e00bdf030a8898d77cdde6330fd07d441508239bc72ec6894d19936441e620d2ec06f156297f179bd2dedce4a914d022a45aaff5ff82f3bb1d55a3c98d16,REAR END,INJURY AND / OR TOW DUE TO CRASH,4121,3
024cc7bfaa5ff21edfcc44120ded623bb38860c0557dfe2ceb541beb3af371b4a067de7fc33b2942d335e5446560ae7e47ca8bbcae2c2bc52efd0516f6361173,OTHER OBJECT,NO INJURY / DRIVE AWAY,532,1
f7ee6152518349913f6f8b6ef580767762d6c77a3688b65702361c8d983f12cd4233dd81f3accb31dbb11249ac58eea543c8af0d1840d0ab0bd1aa7b5370a65a,TURNING,INJURY AND / OR TOW DUE TO CRASH,4236,2
a468507894ff8b17f208dc385628e836df214b4e68a63d80371b1b29d3f7ca5d4ee133e48f80d27c661ecf12eb9e936dd1f077161d38bfcf5b8a8ef2ab108a4e,REAR END,NO INJURY / DRIVE AWAY,1283,2
dd5ebc4eb2b8bdc763dcde6517e9e45b8de352a70403f9e6bd80b32340d7037055d6c95cbfc4867cbb7d3b9bcd12778145063dec342d921ac46a721eeaf529e1,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,4549,2
3b1603879af60d9aff376eea7baec3738d418d5df783061c490b91b6a898bbc159cc6cde5587fe627ce570feed35b0348f8484d48a817c36b4acc16a6f0770e3,TURNING,NO INJURY / DRIVE AWAY,3457,2
59fe2861bfd5bc4d5dc3f811789e0b5cafb76639267960c61f4263236fe6077cb353b620f5a7cc1719be7fbb5a7c577532d4697c5008e5b8ddb115933e48fab1,TURNING,NO INJURY / DRIVE AWAY,1937,2
f1bc53a14a97c308052f140c2207ed14e99930ddfe628e97d3c93319c2fe5bfcc41276287c015b738a6fad7a8e12bca123d7685ca5d3fa5b3067c22815a50090,REAR END,NO INJURY / DRIVE AWAY,953,2
bfc1e6859247659321a5354baf06ddeabf54027b73f778d1b0eb34d7761cc84e2929c0f5a0203a1cac3a4f9fee96ebf8bf456aa5d6b67645113690a4cbb83628,FIXED OBJECT,NO INJURY / DRIVE AWAY,896,1
b62d95ac9eed581706f789ab13a8415a878516e596d323cf304f2863c03016d5bfbe0b97a93b2109843e033b07bc73d31fce6bae70eb095091f2e6ba00e11bda,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,4344,1
b86a4544b791ef36ffb85230f3e91baffcdc77e72884d93eb376df3c4a17714aee6178be91343032b18e4145fbb042a22312650e7277acb09c04e4f7aafc0a2f,ANGLE,NO INJURY / DRIVE AWAY,1863,2
3db15d34cd9012d92c9f686f5305de2463ecef5819cd19729ff6251aa330f7355e39fb0bbabf51dd6d798ee7b0396683f39e53e0812957b42f4762fb09a39fb8,REAR END,INJURY AND / OR TOW DUE TO CRASH,4004,2
adc5dba8667de47d2779543c5fc040bdafa463b6692ec346644d88d3598cc3a95c3739fb49ff4bfe583741d79d28a4b01b3842db836c61ea2f4c4afdd8fcea1c,REAR END,NO INJURY / DRIVE AWAY,4471,2
a9128fa85cb698ef449d05117ef7a838c63b45ba6ca2a98afb738c041bb51e2fe7c88d63b8add27d8b1f0781061d039063893173202350389c7143ea7d223f9e,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,2187,2
8992d262529017c44355cc558ef5b0e798a0d69c0de77ce3b99c40f1e29b81c26c77b2ed53837294b2f682bcccb29443de3e996a67b10f93537f880551bdce4f,TURNING,INJURY AND / OR TOW DUE TO CRASH,2504,2
5d84b080dd8f37f7ec4f2c545fcd18f756c25cc356ffdd38543df9543b631c783a481db71fed3ad1f6073570db0d0d9a2a5548d9fca7ff8fb52a35ee8b37732b,SIDESWIPE OPPOSITE DIRECTION,INJURY AND / OR TOW DUE TO CRASH,801,2
9ec876f0ece2395102d14916720b2d6685d803e89e2c5dfd81ec627e75268edcb87fde666c15f368a6ab792599309096d20b38340b88b7af3b7eddbb31aa47c9,ANGLE,NO INJURY / DRIVE AWAY,1313,2
7405b11fe11eaad2c19d6cc7da5501fd1170c25fd187217943db0809b58dcf1c0df4af2f8dcb16c9bca8dc03d323b09ce9cac922a98c65cc23a1243956c3a488,HEAD ON,INJURY AND / OR TOW DUE TO CRASH,4250,2
436e2907a75a2916a900d8a01a7c69a7cedac1bd36ae79aa3b25e66ff9834b3dbece64511cc0c87f6415680c5c635866862d8ac11c7649a84ccca6e4b2beffe2,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,179,2
e09bad04380932ece68423ebdf3dc5bf9dca9c3d9d2d259ec6b0f3414a0b61d1f423f2125c5645bfc00df9d9e110a1941570cb56f3f29246a86ce5516d7c93c9,ANGLE,NO INJURY / DRIVE AWAY,4423,2
2cd91f6dfe5b7b249bb37400d72560b664c952850036dd2b282e090425a3ecca410494fc64ba332e405b14efbb0aff312d2f122d0bb7747cd42de7f19f607d0c,REAR END,NO INJURY / DRIVE AWAY,2533,2
edef59b86d5430d96552740ae4396fbbec1df966d3125355a135c72c1f6a8838b7264e52116d896717fd72e11b5798b93eacc230e5db570858aa7fba2e4f76f0,FIXED OBJECT,NO INJURY / DRIVE AWAY,304,1
a2b949cd8ae55b896bbc9711312100da33c5e3a209b5238edb87bac4ca7d8d157dc487d8e25974ac762b5a085f403b03f6551503f13fe6ce663df7a8dcd01528,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,1169,2
f2af48bac343253aa95d7bff9bf76370b78ae32114c7de387e6b6e777e6768bfb6679e3d931dcd70f58b26581ec74329a49c45538f56e9ac9fde8e506e38023c,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,798,2
5eaeafe1427542d33706015c8839cf6f2279e0eb1a16e0b94bdb2b788a8f5efbd7c55b572dc6b5f4c483d937ed7e504be4597496ca1d19c8f0725bc7042124a1,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,1506,2
36c4353de83858c9b0ab4ff9a86e90ffe17c14e13aad2e673f949048a4b424c1d0ec902f9cf462408aef646a549aa346edcc97f8461c02aab0c759d3f13d0843,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,4861,2
7ca2b445b0920c132fc7c2c148ed83ff9352c7f99c0c7d7fb893f4ddd1ae02d67fd99ffa38d0f7a19f8af41b08ee13863f6f600fac1cbaf95b1776a3e09efb33,REAR TO FRONT,NO INJURY / DRIVE AWAY,223,2
