crashUnitID,crashID,vehicleID,damageID,crashDate,unitNumber,unitType,numPassengers,vehicleMake,vehicleModel,licencePlateState,vehicleYear,vehicleDefect,vehicleType,vehicleUse,travelDirection,maneuver,occupantCount
1617800,ce7db3d975ad0c1d8f0effe830f0456fefec9d9044d3034d1c583cbd9974c2b34c5e1e8140ae24acf878602adfabd3aa5706b51d5c4f336601248b2147fb2790,1539461,568,07/14/2023 01:40:00 PM,2,DRIVER,,FORD,ECONOLINE E350,IL,2011,NONE,VAN/MINI-VAN,UNKNOWN/NA,W,STRAIGHT AHEAD,1
1618115,67ba010ce77ce5de758fd1b811a0a2fb757b513f409695bed761850a0470cb84d90ad1a9dee522bf6deaa92750c6abe600e3019cb7637f854b2025c7698ee587,1539767,697,07/14/2023 08:30:00 PM,1,DRIVER,,NISSAN,ALTIMA,IL,2017,UNKNOWN,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,1
1618116,67ba010ce77ce5de758fd1b811a0a2fb757b513f409695bed761850a0470cb84d90ad1a9dee522bf6deaa92750c6abe600e3019cb7637f854b2025c7698ee587,1539768,697,07/14/2023 08:30:00 PM,2,DRIVER,,LEXUS,RX350,IL,2015,UNKNOWN,PASSENGER,PERSONAL,E,SLOW/STOP IN TRAFFIC,1
1618117,67ba010ce77ce5de758fd1b811a0a2fb757b513f409695bed761850a0470cb84d90ad1a9dee522bf6deaa92750c6abe600e3019cb7637f854b2025c7698ee587,1539776,697,07/14/2023 08:30:00 PM,3,DRIVER,,HYUNDAI,SANTA FE,IL,2011,UNKNOWN,PASSENGER,PERSONAL,E,SLOW/STOP IN TRAFFIC,1
1618129,f84695af779335fce6e1bc8c9385eff8ba7bc5009fd789e9d3122e9370f7899b50981b2b175dd3ec7b2a86a7af4257d78d94063b38a35b7a5a18b5d2ce95c688,1539789,626,07/14/2023 07:50:00 PM,1,DRIVER,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,UNKNOWN,UNKNOWN/NA,1
1618130,f84695af779335fce6e1bc8c9385eff8ba7bc5009fd789e9d3122e9370f7899b50981b2b175dd3ec7b2a86a7af4257d78d94063b38a35b7a5a18b5d2ce95c688,1539783,626,07/14/2023 07:50:00 PM,2,DRIVER,,TOYOTA,OTHER (EXPLAIN IN NARRATIVE),IL,2019,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,UNKNOWN,UNKNOWN/NA,1
1618235,575a395c6f5007d291b64eea8b819c625614db334767c68cea25c3f4d0fcccb6be411ca36bfa2304e95b5074eff3e21ec93eab4d2b970cf61c913e239abf4b2a,1539885,971,07/15/2023 12:35:00 AM,1,DRIVER,,FORD,ECONOLINE 100,AZ,2017,UNKNOWN,TRUCK - SINGLE UNIT,OTHER,W,AVOIDING VEHICLES/OBJECTS,1
1618236,575a395c6f5007d291b64eea8b819c625614db334767c68cea25c3f4d0fcccb6be411ca36bfa2304e95b5074eff3e21ec93eab4d2b970cf61c913e239abf4b2a,1539886,971,07/15/2023 12:35:00 AM,2,PARKED,,BMW,X5,IL,2017,UNKNOWN,PASSENGER,PERSONAL,W,PARKED,0
1618558,479474ecc5e55fe99fa919f40a32e6394e1de59c338cc92fb80703af97f8e223ef15690d7471df8c63b52cd94cd3695a2e7271aa2ecaf6593172f999fede01ca,1540195,634,07/15/2023 01:30:00 PM,1,DRIVER,,NISSAN,ALTIMA,IL,2017,UNKNOWN,PASSENGER,PERSONAL,NW,TURNING RIGHT,1
1618559,479474ecc5e55fe99fa919f40a32e6394e1de59c338cc92fb80703af97f8e223ef15690d7471df8c63b52cd94cd3695a2e7271aa2ecaf6593172f999fede01ca,1540204,634,07/15/2023 01:30:00 PM,2,DRIVER,,JEEP,CHEROKEE,IL,2014,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,STRAIGHT AHEAD,1
